CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U52399TN2022PTC152955,ZEIGMA AIRPOWER SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,300010,10-06-2022,"NO.1, BRAMIN STREET,,PATTARAVAKKAM,Ambattur,Tiruvallur,Tamil Nadu,600098-India",Unlisted,Active,tamil nadu,Indian,52399,Trading
U52520TN2022PTC154172,GARTENBASKET PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,22-07-2022,"D1, PHASE 4,VIP ANUGRAHA GATED COMMUNITY   KOLAPAKKAM,CHENNAI,Chennai,Tamil Nadu,600116-India",Unlisted,Active,tamil nadu,Indian,52520,Trading
U52590TN2021PTC144138,ITRENDS VISION CARE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,1000000,17-06-2021,"1/533B2,NGO COLONY,SIVKASI,Virudhunagar,Tamil Nadu,626124-India",Unlisted,Active,tamil nadu,Indian,52590,Trading
U52599TN2021PTC144059,KSD EXPORT PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,500000,14-06-2021,"NO.9,Thiyagithirupurkumaran Extension,Blue Jagkers,West Thambaram,Kancheepuram,Tamil Nadu,600045-India",Unlisted,Active,tamil nadu,Indian,52599,Trading
U52609TN2020PTC137058,ORGAIN REPACKING PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,10000,12-08-2020,"9/5 S2 SOUNDARAJAN STREET   SRI SAI HOMES T NAGAR,CHENNAI,Chennai,Tamil Nadu,600017-India",Unlisted,Strike Off,tamil nadu,Indian,52609,Trading
U52609TN2020PTC137489,LEADTEC ENGINEERING AND HARDWARE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,27-08-2020,"B604, C/O UTHRA S & VINODHKUMAR V   NO. 72/1,72/2B1,72/1B,72/1,BYE-PASS ROAD,POONAMALLE,Thiruvallur,Tamil Nadu,600056-India",Unlisted,Active,tamil nadu,Indian,52609,Trading
U52609TN2021PTC145821,SANO ME RETAIL PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,10000000,1000000,31-08-2021,"24/4A/3, VENGIDASAMY NAIDU AGHRAGHARAM   ANUMAR KOVIL PALATHURAI,MADURAI,Madurai,Tamil Nadu,625001-India",Unlisted,Active,tamil nadu,Indian,52609,Trading
U52609TZ2021PTC036684,FLAREWAY GLOBAL PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1500000,100000,29-07-2021,"NO.17C, PALANISAMY GDR STREET,   RATHINAPURI,,COIMBATORE,Coimbatore,Tamil Nadu,641027-India",Unlisted,Active,tamil nadu,Indian,52609,Trading
U74101TN2024PTC172272,JASPEN NOTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,10000,26-07-2024,"18, NEW STREET BOSEPET,GUDIYATHAM,Gudiyattam,Vellore,Tamil Nadu,632602-India",Unlisted,Active,tamil nadu,Indian,74101,"Community, personal and Social Services"
U74120TN2020PTC135893,ISMART TAXOFILING INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,300000,18-06-2020,"G1, PLOT NO.1, 37TH STREET BALAJI NAGAR, EXTN-2   PUZHUTHIVAKKAM,CHENNAI,Chennai,Tamil Nadu,600091-India",Unlisted,Active,tamil nadu,Indian,74120,Business Services
