CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U24290TG2021PTC154035,STHYAGA PHARMACEUTICALS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,11-08-2021,"Flat 301, Sathyam Residency,   Sri Prabhupada Layout, Kondapur,,Hyderabad,Rangareddi,Telangana,500084-India",Unlisted,Active,telangana,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290TG2021PTC154224,KRICK BIOTECH PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,20-08-2021,"SY NO-75/2   Hydernagar, 320 kukatpally,,Hyderabad,Hyderabad,Telangana,500072-India",Unlisted,Active,telangana,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290TG2022PTC165378,AROMAS AND CHEMICALS THERAPEUTICS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,1000000,02-08-2022,"FLAT NO.101, SRI SRINIVASA NIVAS,, AGRICULTURE COLONY , PHASE-1, NEAR WATER TANK,Saroornagar,K.V.Rangareddy,Telangana,500079-India",Unlisted,Active,telangana,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299TG2020PTC140708,STERILIT INDIA PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,09-06-2020,"H. No 7-34/4 B&E, Flat No. 4C   White Waters Apartments, Rayadurg,Hyderabad,Rangareddi,Telangana,500033-India",Unlisted,Active,telangana,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U52291TS2024PTC186616,RABRON AVERSE HOSPITALITY & TRAVELS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,18-06-2024,"P.NO.179,SREE TOWERS,BLOCK-B,KAVURI HILLS,Shaikpet,Hyderabad,Telangana,500081-India",Unlisted,Active,telangana,Indian,52291,"Transport, storage and Communications"
U52300TG2021PTC152027,AHOOZO PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,500000,100000,04-06-2021,"Plot No 13, First Floor, Main Road,   Puppalguda,,Hyderabad,Hyderabad,Telangana,500089-India",Unlisted,Active,telangana,Indian,52300,Trading
U52399TG2022PTC163699,MRS MYRASHAN SHOP PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,16-06-2022,"8-1-299/1/105, VERTINARY COLONY NEAR ADITYA   HILLSTOP, FILM NAGAR,HYDERABAD,Hyderabad,Telangana,500008-India",Unlisted,Active,telangana,Indian,52399,Trading
U52603TG2020PTC142143,USHODAYA SUPER MARKETS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,60000000,55703800,24-07-2020,"H No. 1-16-71/527 (Ground1st Floor), Plot No.527,   Survey Nos. 461 to 469, Dr. A. S. Rao Na,gar,,Hyderabad,Rangareddi,Telangana,500062-India",Unlisted,Active,telangana,Indian,52603,Trading
U47912TS2024PTC188487,FEMINITY HEALTH PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1500000,100000,13-08-2024,"Plot No 17, SY. No. 40(P), & 41, Guttala Begumpet,Shaikpet,Hyderabad,Telangana,500033-India",Unlisted,Active,telangana,Indian,47912,Trading
U24290TG2020PTC141130,MICROBIAL RESEARCH LAB PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,26-06-2020,"Plot No 4, Sai Nagar Colony   Secunderabad,Hyderabad,Hyderabad,Telangana,500009-India",Unlisted,Active,telangana,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290TG2021PTC154150,TIMMI LABS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,17-08-2021,"H.No.8-2-277/2,Plot No 2,5th Floor,Sai   Sauda,UBI Colony,Road No3,Banjara Hills,Hyderabad,Hyderabad,Telangana,500034-India",Unlisted,Active,telangana,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290TG2022PTC164341,HITANSI PHARMA PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,120000,30-06-2022,"Plot No 90, Door No 3 181   Shanthi Nagar, Road No 5,Kukatpally,Hyderabad,Hyderabad,Telangana,500072-India",Unlisted,Active,telangana,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24303TG2020PTC141396,BORN HEALTHCARE PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,10000000,10000000,04-07-2020,"H.No.12-5-38/2, Ground Floor,   Vijayapuri South Lalaguda Post, Tarnaka,Secunderabad,Hyderabad,Telangana,500017-India",Unlisted,Active,telangana,Indian,24303,"Manufacturing (Metals and Chemicals, and products thereof)"
U24304TG2020PTC140695,SINOGENE LABORATORIES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,08-06-2020,"4-1-216/111, FLAT NO. 30   SAI KIRAN RESIDENCY, KARTHIKEYA NAGAR, N,ACHARAM,UPPAL,Rangareddi,Telangana,500076-India",Unlisted,Active,telangana,Indian,24304,"Manufacturing (Metals and Chemicals, and products thereof)"
U52399TG2020PTC141287,LION CROWNS E- RETAIL PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,01-07-2020,"1-69,MODELA   LUXETTIPET,MANCHERIAL,Adilabad,Telangana,504215-India",Unlisted,Active,telangana,Indian,52399,Trading
U52520TG2020PTC140777,V4EVER MARKETING PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,11-06-2020,"C/O 1, KOMATIPALLY,WARANGAL,Warangal,Telangana,506015-India",Unlisted,Strike Off,telangana,Indian,52520,Trading
