CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U64990KA2024PTC190437,VAYLAND FINANCE PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,200000,02-07-2024,"C/O JAMAKHANDI MUDHOL,MAIN ROAD SHIROL CIRCLE,Mudhol,Bagalkot,Karnataka,587313-India",Unlisted,Active,karnataka,Indian,64990,Finance
U25209KA2021PTC149821,SKAI BUILDING SYSTEMS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,22-07-2021,"#4,Vasanthapura,Bangalore,Bangalore,Karnataka,560061-India",Unlisted,Active,karnataka,Indian,25209,"Manufacturing (Metals and Chemicals, and products thereof)"
U65110KA2023PTC175253,TJS IMF PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,26-06-2023,"NO 415, 2ND FLOOR, 2ND,MAIN ROAD, KASTURI NAGAR,Bangalore North,Bangalore,Karnataka,560043-India",Unlisted,Active,karnataka,Indian,65110,Insurance
U26109KA2023OPC177115,FIFTEENU INFOSERVICES (OPC) PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,One Person Company,100000,20000,09-08-2023,"#413, 2ND FLOOR,,1ST BLOCK, KALYAN NAGAR,Bangalore North,Bangalore,Karnataka,560043-India",Unlisted,Active,karnataka,Indian,26109,Manufacturing (Machinery and Equipments)
U26109KA2024PTC189705,KOYTH ROBOTICS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,13-06-2024,"NO 301,SABARI SAI ENCLAVE,166,3RD CROSS,7TH PHASE,Bangalore South,Bangalore,Karnataka,560078-India",Unlisted,Active,karnataka,Indian,26109,Manufacturing (Machinery and Equipments)
U26515KA2023PTC177024,UNIDAD ELECTRONICS MANUFACTURING SERVICES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,500000,500000,07-08-2023,"SY. NO. 105/1, JAKKUR VILLAGE,,YELAHANKA HOBLI,,Bangalore North,Bangalore,Karnataka,560064-India",Unlisted,Active,karnataka,Indian,26515,Manufacturing (Machinery and Equipments)
U26515KA2024PTC191802,FLOFLY TECHNOLOGIES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,07-08-2024,"No.227,3rd floor,16thMain,37thD cross, 4th T Block,Bangalore South,Bangalore,Karnataka,560041-India",Unlisted,Active,karnataka,Indian,26515,Manufacturing (Machinery and Equipments)
U26516KA2024PTC192288,JAYA ENGINEERING CAL SERVICES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,1000000,24-08-2024,"18/19C, VAISHNAVAI OASIS,APARTMENT, S R LAYOUT,,Bangalore South,Bangalore,Karnataka,560062-India",Unlisted,Active,karnataka,Indian,26516,Manufacturing (Machinery and Equipments)
U66190KA2024PTC189792,NIRMAAN FINADVISORS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,400000,18-06-2024,"1st floor, SPD Plaza,,52,Jyoti Niwas College Rd,Bangalore South,Bangalore,Karnataka,560034-India",Unlisted,Active,karnataka,Indian,66190,Finance
U66220KA2023PTC177505,SAVVVYY INSURANCE BROKERS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,15000000,14600000,19-08-2023," #34/A, 35 1st Main Road,,Viswanath Naganahalli,Bangalore North,Bangalore,Karnataka,560024-India",Unlisted,Active,karnataka,Indian,66220,Finance
U73100KA2022OPC164234,SOLVENTUM (OPC) PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,One Person Company,100000,10000,25-07-2022,"106, SUMUKHA RESIDENCY, 7TH CROSS   KATHRIQUPPE, BSK 3RD STAGE,Bangalore,Bangalore,Karnataka,560085-India",Unlisted,Active,karnataka,Indian,73100,"Community, personal and Social Services"
U73100KA2024PTC191485,GRAMMYO CONNECT PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,30-07-2024,"No. 10, Jalaja Cottage, 2nd Cross, DNS Layout,,TC Palya, Krishnarajapuram,,Bangalore North,Bangalore,Karnataka,560036-India",Unlisted,Active,karnataka,Indian,73100,"Community, personal and Social Services"
U70109KA2020PTC136267,TURNSTONE ENTERPRISES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,21-07-2020,"7, 4th Kanakapura Main Road   Shakambari Nagar,Bangalore,Bangalore,Karnataka,560078-India",Unlisted,Active,karnataka,Indian,70109,Real Estate and Renting
U70109KA2021PTC148165,SNR LEGAL SOLUTIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,100000,04-06-2021,"Flat No. 402, Fourth Floor, Samaikyaas, K K Veni   Plaza, B Narayanapura, WF MR,,Bangalore,Bangalore,Karnataka,560016-India",Unlisted,Active,karnataka,Indian,70109,Real Estate and Renting
U24246KA2020PTC136162,ASMAZARA SKIN ESSENTIALS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,50000,19-07-2020,"No 58, 4th cross, RBI EXTN   Byrasandra 1st BLK East Jayanagar,Bengaluru,Bangalore,Karnataka,560011-India",Unlisted,Active,karnataka,Indian,24246,"Manufacturing (Metals and Chemicals, and products thereof)"
U24246KA2021PTC149094,LENCENS INCENSE PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,100000,05-07-2021,"1/A, V V Emerald Building 22, 2nd cross   7th main CNR Layout, Babu sapalaya,Bangalore,Bangalore,Karnataka,560043-India",Unlisted,Active,karnataka,Indian,24246,"Manufacturing (Metals and Chemicals, and products thereof)"
U45403KA2024PTC192309,RE-MAX FAST RIDE PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,500000,27-08-2024,"No.39, Jai Hamba Nivasa,Kanakanagar, New Bridge,Bhadravati,Shimoga,Karnataka,577301-India",Unlisted,Active,karnataka,Indian,45403,Trading
